ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
93,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",1615,1351,65,940,5,5,407.5,161.5,135,5.8,7.8,9.5,7.7,178,11.5,449500,.6118619,9249.949,200.1121,2246.241,48.59486,116.7167,109.2585,108.6278,94.70903,.0216339,.195,1.01e+07,7.41e+12,6.66e+12,1.52e+11,1.37e+11,15117.71,13595.77
94,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",1095,1351,65,970,5,5,407.5,161.5,135,5.8,7.8,9.5,7.7,178,11.5,462900,.6011997,9776.436,200.4673,2309.105,47.34855,121.4417,113.3123,111.2108,96.2226,.0205052,.205,1.01e+07,7.77e+12,6.83e+12,1.64e+11,1.44e+11,16261.54,14298.37
86,"Belgium",2,4,"AlfaRomeo","alfa 75","alfa romeo","75","Italy","Italy","intermediate",0,"AlfaRomeo",775,1779,88.5,1060,5,4,433,163,140,7,9.2,12.2,9.466666,190,9.5,542000,1.050978,10459.18,312.7007,1733.287,51.82051,80.30833,85.04787,91.25555,98.11595,.0298972,.25,9860000,5.08e+12,5.73e+12,9.81e+10,1.11e+11,9951.85,11212.44
87,"Belgium",2,4,"AlfaRomeo","alfa 75","alfa romeo","75","Italy","Italy","intermediate",0,"Fiat",997,1779,88.5,1060,5,4,433,163,140,7,9.2,12.2,9.466666,190,9.5,557500,1.034562,11586.67,332.5618,1676.38,48.11562,84.11667,87.59422,92.6741,93.25135,.0287021,.25,9870000,5.32e+12,5.86e+12,1.11e+11,1.22e+11,11199.59,12348.46
88,"Belgium",2,4,"AlfaRomeo","alfa 75","alfa romeo","75","Italy","Italy","intermediate",0,"Fiat",1263,1567,81,1060,5,4,433,163,140,6.9,9.4,11.8,9.366667,180,10.7,525000,.913525,10538.13,298.1523,1760.845,49.8191,88.39166,90.70075,93.75102,94.78403,.0282927,.25,9900000,5.69e+12,6.14e+12,1.14e+11,1.23e+11,11535.67,12451.31
89,"Belgium",2,4,"AlfaRomeo","alfa 75","alfa romeo","75","Italy","Italy","intermediate",0,"Fiat",1200,1570,81,1090,5,4,433,163,140,6.9,9.4,11.8,9.366667,180,10.7,530000,.8542011,10628.38,304.0664,1743.041,49.86649,93.91667,96.01752,96.66241,101.0056,.0286089,.25,9940000,6.17e+12,6.36e+12,1.24e+11,1.28e+11,12442.48,12833.87
90,"Belgium",2,4,"AlfaRomeo","alfa 75","alfa romeo","75","Italy","Italy","intermediate",0,"Fiat",1064,1570,79,1090,5,4,433,163,140,9.4,9.4,9.4,9.4,180,11.3,549000,.8350924,12197.08,338.5519,1621.613,45.01075,99.96667,100,100,100,.0277568,.25,9970000,6.55e+12,6.55e+12,1.46e+11,1.46e+11,14605.67,14605.67
91,"Belgium",2,4,"AlfaRomeo","alfa 75","alfa romeo","75","Italy","Italy","intermediate",0,"Fiat",801,1570,76,1090,5,4,433,163,140,6.9,9.4,11.8,9.366667,180,11.3,549000,.7976561,11668.29,321.633,1706.914,47.05061,106.25,103.3408,103.2085,98.95197,.0275647,.25,9980000,6.87e+12,6.66e+12,1.46e+11,1.42e+11,14628.22,14181.63
92,"Belgium",2,4,"AlfaRomeo","alfa 75","alfa romeo","75","Italy","Italy","intermediate",0,"Fiat",230,1570,77,1090,5,4,433,163,140,6.7,8.9,10,8.533333,180,11.3,531111,.7384093,11819.37,295.4384,1797.705,44.93563,111.7417,105.2964,105.7164,97.17374,.0249961,.195,1.01e+07,7.23e+12,6.76e+12,1.61e+11,1.50e+11,16006.53,14965.8
89,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",920,1962,109,1200,5,4,455.5,176,140,6.5,8.5,10,8.333333,210,9.2,882500,1.422325,17697.26,506.2992,1743.041,49.86649,93.91667,96.01752,96.66241,101.0056,.0286089,.25,9940000,6.17e+12,6.36e+12,1.24e+11,1.28e+11,12442.48,12833.87
90,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",895,1962,109,1200,5,4,455.5,176,140,8.3,8.3,8.3,8.3,210,9.2,900000,1.369004,19995.22,555.0031,1621.613,45.01075,99.96667,100,100,100,.0277568,.25,9970000,6.55e+12,6.55e+12,1.46e+11,1.46e+11,14605.67,14605.67
91,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",1018,1962,107,1200,5,4,455.5,176,140,6.5,8.5,10,8.333333,210,9.2,915000,1.329427,19447.14,536.055,1706.914,47.05061,106.25,103.3408,103.2085,98.95197,.0275647,.25,9980000,6.87e+12,6.66e+12,1.46e+11,1.42e+11,14628.22,14181.63
92,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",664,1962,107,1300,5,4,455.5,176,140,6.4,8,10,8.133333,210,9.3,890992,1.238756,19828.19,495.6276,1797.705,44.93563,111.7417,105.2964,105.7164,97.17374,.0249961,.195,1.01e+07,7.23e+12,6.76e+12,1.61e+11,1.50e+11,16006.53,14965.8
93,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",459,1995,106,1380,5,4,455.5,176,139,6.5,8.3,9.7,8.166667,210,9.9,989000,1.346232,20351.95,440.2912,2246.241,48.59486,116.7167,109.2585,108.6278,94.70903,.0216339,.195,1.01e+07,7.41e+12,6.66e+12,1.52e+11,1.37e+11,15117.71,13595.77
94,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",362,1995,106,1380,5,4,455.5,176,139,6.5,8.3,9.7,8.166667,210,9.9,998000,1.296171,21077.73,432.2021,2309.105,47.34855,121.4417,113.3123,111.2108,96.2226,.0205052,.205,1.01e+07,7.77e+12,6.83e+12,1.64e+11,1.44e+11,16261.54,14298.37
95,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",129,1995,106,1380,5,4,455.5,176,139,6.5,8.3,9.7,8.166667,210,9.9,999000,1.255545,22634.27,398.6065,2506.231,44.1366,127.7667,122.2245,112.842,99.3076,.0176107,.205,1.01e+07,8.07e+12,6.99e+12,1.83e+11,1.58e+11,18027.46,15620.1
